No,Date,Confirmed,Deaths,Cured,Active
0,30-01-2020,1,0,0,1
1,31-01-2020,1,0,0,1
2,01-02-2020,2,0,0,2
3,02-02-2020,3,0,0,3
4,03-02-2020,3,0,0,3
5,04-02-2020,3,0,0,3
6,05-02-2020,3,0,0,3
7,06-02-2020,3,0,0,3
8,07-02-2020,3,0,0,3
9,08-02-2020,3,0,0,3
10,09-02-2020,3,0,0,3
11,10-02-2020,3,0,0,3
12,11-02-2020,3,0,0,3
13,12-02-2020,3,0,0,3
14,13-02-2020,3,0,0,3
15,14-02-2020,3,0,0,3
16,15-02-2020,3,0,0,3
17,16-02-2020,3,0,0,3
18,17-02-2020,3,0,0,3
19,18-02-2020,3,0,0,3
20,19-02-2020,3,0,0,3
21,20-02-2020,3,0,0,3
22,21-02-2020,3,0,0,3
23,22-02-2020,3,0,0,3
24,23-02-2020,3,0,0,3
25,24-02-2020,3,0,0,3
26,25-02-2020,3,0,0,3
27,26-02-2020,3,0,0,3
28,27-02-2020,3,0,0,3
29,28-02-2020,3,0,0,3
30,29-02-2020,3,0,0,3
31,01-03-2020,3,0,0,3
32,02-03-2020,5,0,0,5
33,03-03-2020,6,0,3,3
34,04-03-2020,28,0,3,25
35,05-03-2020,30,0,3,27
36,06-03-2020,31,0,3,28
37,07-03-2020,34,0,3,31
38,08-03-2020,39,0,3,36
39,09-03-2020,46,0,3,43
40,10-03-2020,58,0,3,55
41,11-03-2020,60,0,3,57
42,12-03-2020,74,0,3,71
43,13-03-2020,81,1,3,77
44,14-03-2020,84,2,10,72
45,15-03-2020,110,2,13,95
46,16-03-2020,114,2,13,99
47,17-03-2020,137,3,14,120
48,18-03-2020,151,3,14,134
49,19-03-2020,173,4,20,149
50,20-03-2020,223,4,23,196
51,21-03-2020,283,4,23,256
52,22-03-2020,360,7,24,329
53,23-03-2020,433,7,24,402
54,24-03-2020,519,9,40,470
55,25-03-2020,606,10,43,553
56,26-03-2020,694,15,45,634
57,27-03-2020,724,17,67,640
58,28-03-2020,909,19,80,810
59,29-03-2020,1024,27,96,901
60,30-03-2020,1251,31,102,1118
61,31-03-2020,1397,35,124,1238
62,01-04-2020,1834,41,144,1649
63,02-04-2020,2069,53,156,1860
64,03-04-2020,2547,62,163,2322
65,04-04-2020,3072,75,213,2784
66,05-04-2020,3577,83,275,3219
67,06-04-2020,4281,111,319,3851
68,07-04-2020,4789,124,353,4312
69,08-04-2020,5274,149,411,4714
70,09-04-2020,5865,169,478,5218
71,10-04-2020,6761,206,516,6039
72,11-04-2020,7529,242,653,6634
73,12-04-2020,8447,273,765,7409
74,13-04-2020,9352,324,980,8048
75,14-04-2020,10815,353,1190,9272
76,15-04-2020,11933,392,1344,10197
77,16-04-2020,12759,420,1515,10824
78,17-04-2020,13835,452,1767,11616
79,18-04-2020,14792,488,2015,12289
80,19-04-2020,16116,519,2302,13295
81,20-04-2020,17656,559,2842,14255
82,21-04-2020,18985,603,3260,15122
83,22-04-2020,20471,652,3960,15859
84,23-04-2020,21700,686,4325,16689
85,24-04-2020,23452,723,4814,17915
86,25-04-2020,24893,779,5210,18904
87,26-04-2020,26605,826,5914,19865
88,27-04-2020,28160,886,6362,20912
89,28-04-2020,29834,937,7027,21870
90,29-04-2020,31709,1008,7797,22904
91,30-04-2020,33330,1075,8373,23882
92,01-05-2020,34972,1152,9065,24755
93,02-05-2020,37157,1218,9951,25988
94,03-05-2020,40124,1306,10887,27931
95,04-05-2020,42836,1389,11762,29685
96,05-05-2020,46711,1583,13161,31967
97,06-05-2020,49391,1694,14183,33514
98,07-05-2020,52952,1783,15267,35902
99,08-05-2020,56342,1886,16540,37916
100,09-05-2020,59662,1981,17847,39834
101,10-05-2020,62939,2109,19358,41472
102,11-05-2020,67152,2206,20917,44029
103,12-05-2020,70756,2293,22455,46008
104,13-05-2020,74281,2415,24386,47480
105,14-05-2020,78003,2549,26235,49219
106,15-05-2020,81970,2649,27920,51401
107,16-05-2020,85710,2752,30153,52805
108,17-05-2020,90637,2872,34109,53656
109,18-05-2020,95759,3029,36824,55906
110,19-05-2020,100325,3163,39174,57988
111,20-05-2020,106750,3303,42298,61149
112,21-05-2020,112359,3435,45300,63624
113,22-05-2020,118447,3583,48534,66330
114,23-05-2020,125101,3720,51784,69597
115,24-05-2020,131868,3867,54441,73560
116,25-05-2020,138845,4021,57721,77103
117,26-05-2020,145380,4167,60491,80722
118,27-05-2020,151767,4337,64426,83004
119,28-05-2020,158333,4531,67692,86110
120,29-05-2020,158333,4531,67692,86110
